id,id2,.metric,.estimator,.estimate,.config,model,alive_only,response,VNIR_only,normalization,derivative,imaging_date,dataset
Repeat1,Fold1,rmse,standard,11.59554011666448,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.5738429574112694,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,9.500017542217716,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.49425015650862103,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold3,rmse,standard,8.665725505501328,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold3,rsq,standard,0.037307747633209126,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold4,rmse,standard,8.030274795436084,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold4,rsq,standard,0.021142882984742005,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold5,rmse,standard,12.856525612400334,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold5,rsq,standard,0.15128375520857948,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,8.649941922953078,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.08464338538900124,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,10.847423197321648,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.4616004734351252,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
