id,id2,.metric,.estimator,.estimate,.config,model,alive_only,response,VNIR_only,normalization,derivative,imaging_date,dataset
Repeat1,Fold1,rmse,standard,6.68427417269776,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.023864530294357908,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.743962860524584,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.14633043972456988,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,8.17459083369772,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.09711841569247688,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.14010029978246,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,8.090027510541715e-4,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,8.505479303307416,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.002870304823117981,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,14.337167594664177,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.2904739763493728,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,14.513679025100476,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.042452253202507985,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.973883925058791,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.01002063089957126,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.6998977409017995,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.0186438574249957,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.905918737814468,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.19622264421093039,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,8.614881220444586,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.01591463041157556,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.649998761585511,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.003439708634614299,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.934164219233037,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.007466746277036374,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,17.172180058558308,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.3328750341391384,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,14.302514023229932,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.025546644972826257,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,10.971387185124259,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.0366214274750145,Preprocessor1_Model1,PLSR,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,8.029056508001357,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.019368776734377993,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.2899890603257615,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.01498230223281681,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,9.332129170035316,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.0018040511848014637,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.574571105499132,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.06978603094391163,Preprocessor1_Model1,SVM,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.689737395365137,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.017966791853972253,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,7.884122061757062,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.22539908245379042,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,8.180767592595267,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.1008191882141323,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,9.15738037786881,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,5.022372696616743e-4,Preprocessor1_Model1,RF,TRUE,reflectance_smoothed,VNIR only,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,8.358999854765685,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.001310033920662595,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,15.952776168807917,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.3066299391477017,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,14.974658197765065,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.0323644720963601,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,11.534743287912555,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.006503635879676581,Preprocessor1_Model1,LASSO,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.110541930857084,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.044400875867133205,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,9.699943810904843,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.040346395570221315,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,10.620623897750049,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.21143104779195002,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,8.478750070903002,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.04941571069815392,Preprocessor1_Model1,LASSO 0.8 cor filter,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,8.437093900513165,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.021670633650471078,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,13.647218662508104,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.13646017634504057,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,15.302102441783346,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.003846432104820097,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,12.27209573135025,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.04362582258409507,Preprocessor1_Model1,PLSR,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,6.717621078651651,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.026932067766140017,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,6.580446433971034,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.13061612032508516,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,8.783850022135415,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.19787243125292867,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,8.705430465136148,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.2923819681100196,Preprocessor1_Model1,SVM,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,5.919944373367809,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rsq,standard,0.01015204320412463,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rmse,standard,6.725374466781967,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold2,rsq,standard,0.11271489245066012,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rmse,standard,7.236935568174627,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold1,rsq,standard,0.051529648007679625,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rmse,standard,8.776607595658314,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat2,Fold2,rsq,standard,0.23580239877656922,Preprocessor1_Model1,RF,TRUE,reflectance_raw,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
Repeat1,Fold1,rmse,standard,7.273711363598279,Preprocessor1_Model1,LASSO,TRUE,reflectance_smoothed,VNIR + SWIR,Pu,None,2020-06-09,Full spectrum
